system,hazard_category,n_category,tp,fn,fp,tn,sensitivity,sensitivity_ci_lower,sensitivity_ci_upper
CQL_Controller_reward,behavioral_other,12,7,5,0,0,0.5833333333333334,0.3195073356553728,0.8067425380947534
CQL_Controller_reward,behavioral_suicidality,7,3,4,0,0,0.42857142857142855,0.15821692226262685,0.7495457695909742
CQL_Controller_reward,benign,1835,0,0,495,1340,0.0,0.0,0.0
CQL_Controller_reward,cardiac_chest_pain,1,1,0,0,0,1.0,0.20654329147389294,1.0
CQL_Controller_reward,environmental_housing_safety,12,5,7,0,0,0.4166666666666667,0.19325746190524654,0.6804926643446271
CQL_Controller_reward,falls_mobility,7,6,1,0,0,0.8571428571428571,0.4868654966809702,0.9743210440510253
CQL_Controller_reward,maternity_ob,1,0,1,0,0,0.0,0.0,0.7934567085261071
CQL_Controller_reward,med_safety,9,7,2,0,0,0.7777777777777778,0.4525833436728054,0.9367762376877727
CQL_Controller_reward,other_hazard,112,70,42,0,0,0.625,0.5325956874612924,0.7091136811938367
CQL_Controller_reward,substance_use,4,3,1,0,0,0.75,0.30063605244263664,0.9544139373553638
Constellation_Multilog_new,behavioral_other,12,12,0,0,0,1.0,0.7574992425007574,0.9999999999999998
Constellation_Multilog_new,behavioral_suicidality,7,5,2,0,0,0.7142857142857143,0.35892909014821267,0.9177828342909845
Constellation_Multilog_new,benign,1835,0,0,493,1342,0.0,0.0,0.0
Constellation_Multilog_new,cardiac_chest_pain,1,0,1,0,0,0.0,0.0,0.7934567085261071
Constellation_Multilog_new,environmental_housing_safety,12,9,3,0,0,0.75,0.4676896608793401,0.9110599603710388
Constellation_Multilog_new,falls_mobility,7,6,1,0,0,0.8571428571428571,0.4868654966809702,0.9743210440510253
Constellation_Multilog_new,maternity_ob,1,1,0,0,0,1.0,0.20654329147389294,1.0
Constellation_Multilog_new,med_safety,9,9,0,0,0,1.0,0.7008472464490406,1.0
Constellation_Multilog_new,other_hazard,112,73,39,0,0,0.6517857142857143,0.5598502165764603,0.7336540167904821
Constellation_Multilog_new,substance_use,4,3,1,0,0,0.75,0.30063605244263664,0.9544139373553638
Guardrail_new,behavioral_other,12,11,1,0,0,0.9166666666666666,0.6461140782014047,0.9851352905492264
Guardrail_new,behavioral_suicidality,7,3,4,0,0,0.42857142857142855,0.15821692226262685,0.7495457695909742
Guardrail_new,benign,1835,0,0,494,1341,0.0,0.0,0.0
Guardrail_new,cardiac_chest_pain,1,0,1,0,0,0.0,0.0,0.7934567085261071
Guardrail_new,environmental_housing_safety,12,8,4,0,0,0.6666666666666666,0.3906175873976139,0.8618821601026386
Guardrail_new,falls_mobility,7,5,2,0,0,0.7142857142857143,0.35892909014821267,0.9177828342909845
Guardrail_new,maternity_ob,1,0,1,0,0,0.0,0.0,0.7934567085261071
Guardrail_new,med_safety,9,9,0,0,0,1.0,0.7008472464490406,1.0
Guardrail_new,other_hazard,112,70,42,0,0,0.625,0.5325956874612924,0.7091136811938367
Guardrail_new,substance_use,4,3,1,0,0,0.75,0.30063605244263664,0.9544139373553638
LogReg_TFIDF_new,behavioral_other,12,10,2,0,0,0.8333333333333334,0.5519636426153274,0.9530358523851776
LogReg_TFIDF_new,behavioral_suicidality,7,5,2,0,0,0.7142857142857143,0.35892909014821267,0.9177828342909845
LogReg_TFIDF_new,benign,1835,0,0,493,1342,0.0,0.0,0.0
LogReg_TFIDF_new,cardiac_chest_pain,1,0,1,0,0,0.0,0.0,0.7934567085261071
LogReg_TFIDF_new,environmental_housing_safety,12,8,4,0,0,0.6666666666666666,0.3906175873976139,0.8618821601026386
LogReg_TFIDF_new,falls_mobility,7,5,2,0,0,0.7142857142857143,0.35892909014821267,0.9177828342909845
LogReg_TFIDF_new,maternity_ob,1,1,0,0,0,1.0,0.20654329147389294,1.0
LogReg_TFIDF_new,med_safety,9,7,2,0,0,0.7777777777777778,0.4525833436728054,0.9367762376877727
LogReg_TFIDF_new,other_hazard,112,56,56,0,0,0.5,0.4089470959009493,0.5910529040990508
LogReg_TFIDF_new,substance_use,4,2,2,0,0,0.5,0.15003570882017145,0.8499642911798285
XGBoost_SBERT_new,behavioral_other,12,11,1,0,0,0.9166666666666666,0.6461140782014047,0.9851352905492264
XGBoost_SBERT_new,behavioral_suicidality,7,4,3,0,0,0.5714285714285714,0.2504542304090258,0.8417830777373732
XGBoost_SBERT_new,benign,1835,0,0,487,1348,0.0,0.0,0.0
XGBoost_SBERT_new,cardiac_chest_pain,1,0,1,0,0,0.0,0.0,0.7934567085261071
XGBoost_SBERT_new,environmental_housing_safety,12,8,4,0,0,0.6666666666666666,0.3906175873976139,0.8618821601026386
XGBoost_SBERT_new,falls_mobility,7,4,3,0,0,0.5714285714285714,0.2504542304090258,0.8417830777373732
XGBoost_SBERT_new,maternity_ob,1,0,1,0,0,0.0,0.0,0.7934567085261071
XGBoost_SBERT_new,med_safety,9,9,0,0,0,1.0,0.7008472464490406,1.0
XGBoost_SBERT_new,other_hazard,112,72,40,0,0,0.6428571428571429,0.5507337762258678,0.725505502237137
XGBoost_SBERT_new,substance_use,4,3,1,0,0,0.75,0.30063605244263664,0.9544139373553638
